id;day;shop_sn;shop_name;category_sn;category_name;food_sn;food_name;cost;price;original_price;sales_quantity;sales_amount;refund_orders;refund_amount;gross_profit;init_quantity;remainder
1;2020-04-22T11:50:34;Cotton;Frozen Inlet;onlin;utilize;capacity H;Singapore Dollar;50452;38389;99575;59161;53193;78800;3001;95969;62389;17959
2;2020-04-22T23:03:14;Customer monitor Designer;deploy Supervisor Mu;Money;Meadows Pe;back up;Nauru hard drive bac;37295;11218;54372;38175;26407;73809;37062;94988;13293;29036
3;2020-04-22T23:47:44;Cambridgeshire SCSI XSS;JSON incubate back u;Woode;SMTP black;card;primary Guyana Dolla;3202;43475;86271;69047;87847;43129;56152;67534;90697;51617
4;2020-04-23T01:14:33;whiteboard;Intuitive;Techn;convergenc;connecting;Squares Syrian Arab ;15596;73807;51705;35930;15598;84483;88119;24674;62181;41796
5;2020-04-22T13:14:55;Beauty initiatives;methodologies Unbran;PCI;Developer ;system Gam;input;95454;18950;72827;2636;95257;9861;65525;77795;73172;74391
6;2020-04-22T21:16:49;online European Unit of Accoun;bypass;trans;Israel dep;compressin;Credit Card Account;44026;65586;70472;48884;12569;69671;74574;29634;61127;85174
7;2020-04-23T01:50:10;Optional visualize navigating;Shores Credit Card A;Regio;Liberian D;compress;Divide calculate;74683;62365;94698;77606;65993;63429;35834;77483;90240;64321
8;2020-04-23T05:39:36;Malagasy Ariary Grass-roots;solution;IB Un;Chair;panel Refi;USB;93998;26225;2878;85894;4346;86514;44421;40049;51358;88564
9;2020-04-22T13:32:55;one-to-one invoice;Streets Program Home;optic;firewall S;Enterprise;Associate deliver be;99824;67467;89652;14965;19928;41184;83977;65961;99038;66599
10;2020-04-22T19:04:43;Florida salmon THX;synthesize Hawaii;green;Car;homogeneou;Course;13475;52774;60943;98496;51592;69753;79963;90335;79120;740
