id;sn;card_type;title;thumbnail;details;valid_period_begin_at;valid_period_end_at;quantity;received_quantity;can_use_with_other_card;accept_categories;accept_shops;least_cost;reduce_cost;discount;gift;gift_quantity;status;created_by;created_date;deliveried_by;deliveried_date;discontinue_by;discontinue_date;last_modified_date;last_modified_by
1;incremental Assistan;BUY_ONE_GET_ONE;SDR Implementation Music;Jewelery;THX Home;2020-04-22T23:23:16;2020-04-22T23:11:40;302121723;908315542;false;Outdoors Auto Loan Account content;Handmade Car intermediate;96963;75941;37;Ecuador pa;36049;NEW;compress Pataca;2020-04-22T14:31:58;Administrator open-s;2020-04-23T05:46:16;Radial Planner Lithu;2020-04-22T07:23:40;2020-04-22T19:12:25;copying
2;Grocery matrix Grass;GIFT;Buckinghamshire;neural matrix;Fish Principal;2020-04-22T18:02:02;2020-04-22T21:16:17;987344643;329839773;false;Small Metal Table orchestrate pricing structure;SAS;60160;78261;60;Metal gene;26699;DISCONTINUE;optical;2020-04-22T10:16:16;Sao Tome and Princip;2020-04-23T00:01:45;virtual Planner tran;2020-04-23T07:13:19;2020-04-22T22:35:34;Usability
3;reciprocal;CASH;invoice Avon Tools;Computers enterprise;Industrial Fantastic Cotton Mouse bypassing;2020-04-23T02:45:28;2020-04-23T06:04:59;675100969;180792147;false;matrices;Outdoors;11872;81323;35;methodolog;30649;NEW;Italy;2020-04-22T20:09:12;Kazakhstan;2020-04-22T12:23:47;Liaison heuristic;2020-04-22T16:37:11;2020-04-23T03:11:23;Exclusive Tennessee 
4;Product Berkshire;DISCOUNT;architecture;full-range quantifying;sky blue Director Soap;2020-04-23T07:08:53;2020-04-23T03:38:53;997634378;474765461;true;dedicated;Soft one-to-one cross-platform;92457;1741;97;Borders cl;78016;NEW;bypass Savings Accou;2020-04-22T22:25:40;local area network p;2020-04-23T01:45:41;hacking invoice;2020-04-22T15:13:01;2020-04-23T03:28:30;Stravenue
5;National Glens extra;GIFT;Brand;Cliff;Intelligent;2020-04-22T22:55:16;2020-04-22T16:24:05;258249850;357052934;false;circuit;XML regional;57466;68979;43;Industrial;17721;DISCONTINUE;seize Architect;2020-04-22T10:56:33;1080p Granite;2020-04-23T01:21:37;Corporate archive te;2020-04-22T12:24:43;2020-04-22T13:08:16;lime Tasty Concrete 
6;array task-force;BUY_ONE_GET_ONE;mint green Solutions Music;logistical;multi-byte payment matrix;2020-04-22T22:01:40;2020-04-23T05:02:22;71383477;943509193;false;Regional;navigating;92753;70917;76;human-reso;26545;EXPIRED;Applications project;2020-04-22T09:45:18;content Principal fu;2020-04-22T10:42:11;Georgia COM bus;2020-04-23T01:53:03;2020-04-23T05:43:22;Dong Assurance
7;heuristic generating;CASH;groupware;Usability azure;Investor Ergonomic Steel Hat;2020-04-22T12:00:43;2020-04-22T08:55:31;996720812;705796799;false;Home Consultant Rustic Fresh Tuna;Intelligent Wooden Keyboard Agent Personal Loan Account;69065;89091;3;orange Soa;2260;EXPIRED;Electronics SMTP Pla;2020-04-22T21:15:19;virtual Borders Nuev;2020-04-22T07:35:11;homogeneous;2020-04-22T20:26:23;2020-04-22T09:16:34;invoice Home Loan Ac
8;Mills;CASH;Pa'anga;Analyst Fantastic multi-tasking;Pants e-business;2020-04-23T03:57:18;2020-04-22T16:31:16;798989549;936982465;false;channels turn-key;Cambridgeshire Shoes;97625;29676;14;Engineer b;21197;EXPIRED;Small Granite Hat Ne;2020-04-23T02:09:00;Web European Unit of;2020-04-22T14:14:13;override Chips;2020-04-23T01:43:07;2020-04-22T14:25:38;knowledge user Divis
9;Washington;BUY_ONE_GET_ONE;tan motivating South Carolina;Rubber copying;SAS;2020-04-22T10:47:16;2020-04-22T15:17:48;295951992;666218965;false;feed;Credit Card Account California;67171;489;53;National;86022;NEW;Ford Versatile chann;2020-04-22T19:56:23;Granite Table viral;2020-04-22T12:31:52;open architecture Dy;2020-04-22T07:33:21;2020-04-23T02:48:18;withdrawal
10;Checking Account wel;CASH;Intranet Marketing Steel;Colorado;neural;2020-04-23T04:12:18;2020-04-22T15:53:35;757062988;316510511;true;Garden generate;protocol multi-byte Representative;54150;4156;29;Montana;48234;PUT;Berkshire Focused;2020-04-22T17:05:18;Coordinator payment ;2020-04-22T08:07:35;Sri Lanka encompassi;2020-04-22T11:12:25;2020-04-22T18:45:21;Buckinghamshire
