id;code;card_sn;card_type;title;thumbnail;details;valid_period_begin_at;valid_period_end_at;can_use_with_other_card;accept_categories;accept_shops;least_cost;reduce_cost;discount;gift;gift_quantity;received_by;received_date;order_sn;status;write_off_date
1;Response;Quality-focused Nebr;BUY_ONE_GET_ONE;Cambridgeshire Cambridgeshire;synthesizing payment AGP;Auto Loan Account;2020-04-23T00:40:28;2020-04-23T06:21:37;true;Peru;vortals bandwidth Glen;89372;82425;45;generate;14236;Nevada Sleek feed;2020-04-22T23:49:27;Analyst USB haptic;EXPIRED;2020-04-22T10:58:33
2;Auto Loan Account plum;Prairie copy;BUY_ONE_GET_ONE;Metal;standardization;applications;2020-04-23T06:50:38;2020-04-22T14:12:32;false;cross-platform structure withdrawal;De-engineered recontextualize Bedfordshire;91118;17639;63;Cheese par;38649;Tactics;2020-04-22T15:25:15;Alaska asymmetric Le;CONSUMED;2020-04-23T03:18:11
3;Representative;Assistant Lakes;BUY_ONE_GET_ONE;Personal Loan Account;Agent monitor Money Market Account;Alabama;2020-04-22T10:13:30;2020-04-22T22:08:11;true;success Central Auto Loan Account;Central cultivate;22197;91319;24;capacitor ;95685;generating Michigan ;2020-04-23T04:01:22;panel;CONSUMED;2020-04-23T05:37:27
4;digital;sensor Home Loan Acc;GIFT;Idaho redundant;matrix Executive Guyana;withdrawal;2020-04-23T06:35:06;2020-04-22T23:08:00;false;Armenia Rand teal;reinvent orchestration;9726;72234;26;Savings Ac;95611;RAM Lodge parse;2020-04-22T17:54:58;bandwidth Graphical ;CONSUMED;2020-04-22T12:51:15
5;feed;Wooden Pike Pants;GIFT;silver Checking Account;Specialist Mississippi;recontextualize Circle applications;2020-04-22T12:16:04;2020-04-23T02:02:09;true;Generic Wooden Tuna;methodical;77805;58873;1;protocol g;75399;Outdoors Electronics;2020-04-23T04:08:00;Bacon;CONSUMED;2020-04-22T07:26:18
6;Handcrafted Concrete Chicken service-des;Passage Berkshire;DISCOUNT;Soft Rubber;Infrastructure intermediate;Rapids Falkland Islands Pound Licensed;2020-04-22T16:46:28;2020-04-22T21:15:59;false;bandwidth;Fantastic Wooden Mouse;32337;6983;51;Oval Centr;63388;SQL bypassing;2020-04-23T04:38:49;United Arab Emirates;CONSUMED;2020-04-22T16:01:32
7;ROI;human-resource Rusti;CASH;Planner;Producer Shoes complexity;Enterprise-wide;2020-04-22T21:05:17;2020-04-22T22:26:14;true;data-warehouse Jewelery;Fantastic Bike New Jersey;91030;20513;97;Eritrea;99959;parse cross-media Ta;2020-04-22T08:27:29;Cambridgeshire;EXPIRED;2020-04-22T14:04:29
8;virtual deposit Manager;parse;GIFT;attitude-oriented;payment Intranet TCP;SMS purple;2020-04-23T03:01:39;2020-04-22T12:06:30;true;Lead Personal Loan Account;Buckinghamshire;20244;41247;69;sensor exp;98819;Keyboard index Georg;2020-04-23T06:47:09;Shore;EXPIRED;2020-04-22T10:21:48
9;payment Intelligent Algeria;Frozen;BUY_ONE_GET_ONE;copy Quality;connect;driver Auto Loan Account Cross-group;2020-04-22T13:31:26;2020-04-22T13:58:18;false;alarm;Devolved navigating;61011;47741;47;Concrete;81033;Technician CSS;2020-04-23T06:15:39;Concrete;CONSUMED;2020-04-22T08:35:03
10;Turkey Auto Loan Account transparent;Seychelles Rupee;BUY_ONE_GET_ONE;Frozen utilisation quantifying;Switchable Toys;Practical;2020-04-23T06:03:16;2020-04-22T09:48:20;false;Outdoors;payment;62981;12542;36;Cambridges;20125;Principal generate S;2020-04-22T17:33:04;haptic grid-enabled;CONSUMED;2020-04-22T23:27:19
