id;name;sn;thumbnail;picture;price;original_price;cost;packing_fee;jhi_desc;sort;feeding_mode;disabled;created_by;created_date;last_modified_date;last_modified_by
1;withdrawal;Wooden fir;Shoes website;Director;46600;67613;7854;56126;Dynamic Movies;106858405;DESSERT;true;Intelligent Wooden H;2020-04-23T03:58:21;2020-04-22T21:32:43;Designer
2;Leone Chicken SCSI;indexing t;backing up Rustic;Bedfordshire Cambridgeshire Markets;53400;81290;81999;28679;Liaison;237172881;DINNER;false;technologies Spurs R;2020-04-22T18:58:50;2020-04-22T11:42:48;Solutions Buckingham
3;Home Loan Account Li;Savings Ac;deliverables;auxiliary Steel;4216;37009;76999;49900;bluetooth;378145718;DESSERT;true;Credit Card Account;2020-04-23T04:33:57;2020-04-22T15:57:15;synergistic content 
4;parse;Versatile ;executive Liaison;parallelism optimize;8291;53544;88062;89749;content;881386922;DESSERT;false;1080p;2020-04-22T10:31:00;2020-04-23T06:26:32;Comoro Franc
5;mint green Refined;Virginia S;backing up synthesizing Sausages;Consultant;35090;96001;31894;57845;Kids Sleek;386294600;DESSERT;false;Dynamic hack;2020-04-22T12:32:29;2020-04-23T05:31:34;withdrawal Frozen
6;Dynamic Expanded;optimize f;drive Licensed Frozen Ball Small Steel Chair;Home Loan Account mission-critical withdrawal;93468;38623;62105;48816;best-of-breed Down-sized Investment Account;875339464;DESSERT;false;extensible;2020-04-23T03:12:36;2020-04-22T23:02:41;4th generation Bucki
7;evolve;transmitti;installation;secondary cutting-edge;47640;23378;60893;54281;Assistant Wisconsin Officer;96697764;DESSERT;true;Rubber SDR Squares;2020-04-23T04:55:38;2020-04-22T07:16:34;secondary auxiliary
8;channels model Sleek;Extensions;Up-sized Soap copying;Credit Card Account;17851;98673;59770;21284;Minnesota;422287461;DESSERT;true;invoice Borders mobi;2020-04-22T20:44:00;2020-04-22T22:35:54;networks Integration
9;Practical Granite Ke;Small Wood;Ergonomic motivating Georgia;Analyst driver experiences;85675;16221;77514;26746;maroon;604739851;DINNER;false;Infrastructure Enter;2020-04-22T14:44:12;2020-04-23T04:33:36;1080p Rustic Soft Ch
10;Nevada Center models;Shoal Syri;Configuration Quality;Cape Verde Escudo Virginia Refined;75085;87111;47756;44391;back-end encoding Georgia;346795548;DINNER;true;Checking Account;2020-04-22T10:31:04;2020-04-22T19:44:47;Rustic
