id;name;sn;tel;address;country;province;city;district;offset_type;longitude;latitude;shop_open;shop_close;max_delivery_distance;min_delivery_amount;lunch_serve_starting_at;lunch_serve_end_at;supper_serve_starting_at;supper_serve_end_at;created_by;created_date;last_modified_date;last_modified_by
1;Summit Buckinghamshi;port;fault-toleran;auxiliary Chips;Tokelau;bandwidth grey dynam;Robelland;Specialist;SOGOU;83294;34222;THX red;Monitore;28;16819;digital ;Money Ma;superstr;Nuevo So;Bedfordshire program;2020-04-22T07:33:56;2020-04-23T06:51:44;Lead override Checki
2;5th generation Intui;payment architect integrated;hacking Grani;Virginia Indiana;Nigeria;Lodge Sleek Wooden C;New Greta;Intelligent withdraw;BAIDU;4918;30636;JSON bac;deposit;21;46764;content-;Computer;plug-and;regional;architectures Utah;2020-04-23T04:30:40;2020-04-22T21:12:58;Rustic Director
3;Investor;turquoise extend Granite;Ergonomic Met;Small Concrete Ball Handmade Plastic Ball;Denmark;Granite;Port Tommie;Object-based EXE;BAIDU;31541;16773;Small;reinvent;5;44439;mindshar;orchestr;Fresh sc;Path Vis;open-source Practica;2020-04-22T10:42:59;2020-04-23T01:15:41;client-server
4;deposit Fantastic Fr;Montserrat;middleware;online Lari;French Guiana;Wooden;Jedediahfort;Profit-focused Congo;GPS;29509;25148;Beauty m;interfac;8;72887;collabor;Human;Cheese S;Plastic;monetize;2020-04-23T05:24:05;2020-04-22T13:13:49;payment
5;Village bottom-line;copy Guatemala Car;Handmade Wood;Kyrgyz Republic;Democratic People's ;Fantastic Beauty con;West Isabelfort;redundant Principal ;BAIDU;61381;30750;program ;bypass;5;55893;Steel;reboot c;Exclusiv;monetize;Ergonomic Chips;2020-04-22T22:24:52;2020-04-22T12:14:02;Incredible Wooden Ta
6;Awesome Cotton Chick;protocol Total;Self-enabling;encoding;Haiti;initiatives Cotton;North Kellenbury;microchip;BAIDU;69624;52706;Communic;monitor ;1;30122;programm;orchestr;XML Refi;regional;utilize Frozen Legac;2020-04-22T11:15:52;2020-04-22T11:53:57;synthesize Dominican
7;3rd generation copyi;Brand;harness Rever;Cambridgeshire technologies Licensed Concrete Chic;Bhutan;Sleek Quality Greece;Mrazborough;Creative;BAIDU;39524;2717;Graphica;channels;27;95836;Rufiyaa;Corporat;Home Per;payment;disintermediate hard;2020-04-23T02:40:18;2020-04-22T22:06:52;circuit Home Loan Ac
8;compressing solid st;channels;enable innova;1080p hardware Implementation;China;Handcrafted;Mrazfurt;motivating Fish;SOGOU;75525;57111;Analyst ;deposit ;14;13396;SDD Rhod;Integrat;port lea;payment ;PCI Iowa;2020-04-22T15:32:46;2020-04-23T02:35:25;Montana Personal Loa
9;cross-platform depos;middleware e-business Cheese;Customizable;Gorgeous;Australia;Estonia Samoa;New Floburgh;HTTP drive;SOGOU;47794;99157;Innovati;Borders ;43;53568;system;microchi;Savings ;Plastic;District Incredible;2020-04-22T18:32:42;2020-04-22T10:18:40;Lake
10;Personal Loan Accoun;synthesize Cambridgeshire Indi;Ranch Straven;composite;France;Soft;North Amya;invoice Toys Concret;MAPBAR;8423;85262;Future-p;Lilangen;15;94716;compress;Customer;data-war;Legacy t;Garden generate circ;2020-04-22T17:57:06;2020-04-22T09:34:54;Saudi Riyal Field
