id;day;shop_sn;shop_name;category_sn;category_name;food_sn;food_name;food_original_price;init_quantity;sales_quantity;last_modified_date
1;2020-04-22T10:47:45;SSL;budgetary management;ubiqu;Operations;purple Hom;Wall customized Dela;5554;33900;79817;2020-04-23T06:31:22
2;2020-04-23T05:32:25;extensible;Chair;Credi;Tasty Meta;orchid sup;dynamic;19932;20897;2366;2020-04-22T15:24:48
3;2020-04-23T00:24:39;PNG Small Frozen Chicken SDD;North Carolina Bucki;Sport;metrics ge;Steel Mars;olive challenge Clot;27041;28269;62488;2020-04-22T14:29:50
4;2020-04-23T00:36:18;Computers;port;strea;Creative C;incentiviz;Intranet;96690;44357;50002;2020-04-23T04:30:17
5;2020-04-23T05:23:23;strategy West Virginia;mobile optimal depos;monit;firewall B;Internal;generate cross-platf;85247;69096;81480;2020-04-23T01:33:12
6;2020-04-22T20:36:24;Mall;payment Colorado Sho;Steel;online Mar;Architect;turquoise focus grou;50287;89427;87530;2020-04-23T06:42:49
7;2020-04-22T15:17:42;brand;IB capacity;Handc;Springs;Armenia Cl;Auto Loan Account Mi;86329;69033;13590;2020-04-22T12:12:39
8;2020-04-22T16:01:48;calculating scalable;attitude-oriented Cl;Regio;deposit fi;Awesome St;mint green Technicia;80098;8910;35981;2020-04-22T23:12:17
9;2020-04-22T17:21:52;Principal Walks digital;Rapids optical Nethe;impac;bypassing ;backing up;neural-net Directive;68524;51780;90536;2020-04-22T12:37:02
10;2020-04-22T22:34:38;PNG Small Soft Keyboard;Investment Account W;conne;salmon;Metal;Incredible Bedfordsh;28975;98613;89922;2020-04-22T11:33:19
