id;sn;card_type;title;thumbnail;details;valid_period_begin_at;valid_period_end_at;quantity;received_quantity;can_use_with_other_card;accept_categories;accept_shops;least_cost;reduce_cost;discount;gift;gift_quantity;status;created_by;created_date;deliveried_by;deliveried_date;last_modified_date;last_modified_by
1;mobile Grocery;DISCOUNT;sticky exploit AI;Human Shirt;open-source Guarani;2020-04-22T17:32:22;2020-04-22T17:08:34;899119557;41514305;true;Cambridgeshire fresh-thinking turquoise;Berkshire Principal Paradigm;89928;45756;93;redundant ;95490;DISCONTINUE;Cross-group Generic ;2020-04-22T11:55:19;neural intuitive;2020-04-22T18:51:19;2020-04-22T13:04:29;Somali Shilling opti
2;Credit Card Account;BUY_ONE_GET_ONE;invoice value-added;Granite Electronics;Frozen Orchestrator;2020-04-23T00:19:32;2020-04-22T11:51:19;904048507;774571537;true;Route;Mauritius Rupee;33019;83190;24;Egyptian P;43702;DISCONTINUE;responsive;2020-04-22T16:43:21;Soap backing up;2020-04-22T21:29:14;2020-04-22T17:45:20;Croatian Kuna SAS Sp
3;capacitor invoice qu;CASH;XML Brunei Darussalam;invoice e-business;Versatile orchid;2020-04-22T07:21:37;2020-04-22T18:46:57;534608255;573254324;false;Portugal;gold;68901;59203;69;Advanced;83801;NEW;parse challenge;2020-04-23T06:19:15;transmitting;2020-04-23T06:09:55;2020-04-22T13:19:13;implement zero defec
4;Costa Rica;DISCOUNT;Rustic Granite Computer synthesize programming;Bypass vertical 24/7;protocol Incredible transmitter;2020-04-22T13:53:34;2020-04-23T00:34:31;852515915;325491671;false;feed;well-modulated Meadows Senior;42035;92571;39;pixel Forw;4168;PUT;directional;2020-04-23T05:18:42;e-business Yen;2020-04-23T03:03:32;2020-04-23T00:55:29;redefine invoice
5;quantifying bus inte;CASH;Tanzanian Shilling;Soft;Pizza Small Plastic Chips;2020-04-23T01:32:20;2020-04-22T14:17:33;708413575;763760712;true;Soft;Consultant Assistant;58833;38825;31;standardiz;62508;DISCONTINUE;Fresh;2020-04-22T07:52:17;Right-sized;2020-04-22T10:52:25;2020-04-22T07:22:48;Games Rubber
6;front-end hacking Er;BUY_ONE_GET_ONE;Small payment;purple;Kansas seamless neural;2020-04-23T05:20:50;2020-04-22T23:19:17;323786700;992976370;false;Legacy Licensed reinvent;Pike Integration Brook;21989;14290;30;XML Ergono;47548;NEW;world-class driver;2020-04-22T09:44:42;Handmade repurpose M;2020-04-22T09:33:22;2020-04-23T01:01:22;Concrete
7;policy;CASH;Sleek hub Auto Loan Account;District;Idaho multi-byte;2020-04-23T00:56:57;2020-04-22T14:19:07;114072649;299859763;false;white dynamic synergistic;scale;57369;32974;64;cyan;35583;PUT;Utah efficient;2020-04-22T13:04:26;Tools Handmade Steel;2020-04-23T00:49:54;2020-04-22T21:21:12;niches
8;Pizza hack;GIFT;Cambridgeshire;Dynamic navigate Home Loan Account;Sweden;2020-04-22T15:52:59;2020-04-22T21:21:48;558398292;739356022;false;Nakfa intranet;Borders deposit;70625;44270;75;payment;633;DISCONTINUE;International e-comm;2020-04-22T12:03:17;override;2020-04-23T05:01:15;2020-04-23T00:06:57;Bedfordshire Sleek
9;homogeneous Home Loa;DISCOUNT;Computers Rubber Garden;COM;Granite;2020-04-22T10:06:26;2020-04-22T08:49:14;673006272;88588685;true;deposit 6th generation Handcrafted;enhance utilize Cheese;73326;50587;80;Licensed F;98476;DISCONTINUE;payment Adaptive tan;2020-04-22T13:48:04;connect Health bleed;2020-04-23T04:47:09;2020-04-23T02:48:48;Somali Shilling
10;parse Advanced Consu;CASH;Fresh;mint green matrix;Grove;2020-04-22T09:04:00;2020-04-23T05:51:49;13710834;343688430;true;Health Camp Automotive;magenta;24703;78801;98;USB capabi;2057;PUT;UAE Dirham invoice;2020-04-22T13:09:50;Reverse-engineered c;2020-04-23T07:16:46;2020-04-22T18:10:56;Texas Sleek
