id;picture;sort;status;created_by;created_date;last_modified_date;last_modified_by
1;architectures Arkansas;617186639;NEW;Synergistic Generic ;2020-04-22T23:48:07;2020-04-23T01:47:57;Home framework Metal
2;Architect Cliffs Ball;106907012;RECEDED;Skyway;2020-04-22T15:46:34;2020-04-22T08:11:04;Fantastic Fresh Tuna
3;backing up AI Ergonomic Fresh Ball;951506267;PUBLISHED;throughput Latvia;2020-04-23T01:29:04;2020-04-23T03:00:54;Personal Loan Accoun
4;Baby;852920106;RECEDED;Bahamian Dollar;2020-04-23T03:24:30;2020-04-22T16:19:26;Borders Row
5;optical Vision-oriented navigating;391228126;RECEDED;Sleek copy Consultan;2020-04-22T23:39:08;2020-04-22T17:16:46;Group AI
6;Grocery infrastructures Senior;82519957;PUBLISHED;calculating Research;2020-04-22T20:39:52;2020-04-22T13:13:31;Legacy Electronics
7;bypassing Car;88652455;NEW;Licensed Metal Keybo;2020-04-22T22:30:18;2020-04-23T02:46:25;Group SMS magnetic
8;Fresh;158115763;RECEDED;Avon Agent collabora;2020-04-22T08:13:57;2020-04-23T06:20:17;SCSI
9;embrace process improvement;375498027;PUBLISHED;vortals responsive O;2020-04-23T00:38:24;2020-04-22T23:15:16;Berkshire indigo
10;Florida;682952031;RECEDED;SSL withdrawal enabl;2020-04-22T10:29:14;2020-04-22T10:15:10;SQL
