id;code;card_sn;card_type;title;thumbnail;details;valid_period_begin_at;valid_period_end_at;can_use_with_other_card;accept_categories;accept_shops;least_cost;reduce_cost;discount;gift;gift_quantity;received_by;received_date;held
1;calculating solutions;driver Response;CASH;open-source;Cambridgeshire;Moldova;2020-04-23T05:32:04;2020-04-22T19:20:56;true;plum 24/365;PCI CFA Franc BCEAO Coordinator;55198;62074;98;optical fe;70085;Automotive;2020-04-22T07:40:59;front-end
2;Mandatory bandwidth;Generic Steel Tuna D;BUY_ONE_GET_ONE;Configuration reintermediate Infrastructure;invoice;Group user-centric Oregon;2020-04-23T04:49:34;2020-04-22T11:10:48;true;Groves JBOD;Yen networks Iowa;24543;12128;37;Rubber Han;48411;Steel Chicken Config;2020-04-22T17:55:30;violet
3;Checking Account Ergonomic Ergonomic;Toys;BUY_ONE_GET_ONE;Sports Lodge copying;Fantastic;FTP relationships groupware;2020-04-23T04:56:45;2020-04-22T20:41:21;true;Namibia;International Shoes;6811;20473;28;Handmade M;29866;Refined Fresh Shoes ;2020-04-22T11:59:23;payment Cheese
4;optical District best-of-breed;national Shoes;DISCOUNT;content 24/365;Rubber niches;Orchestrator incubate;2020-04-22T18:02:58;2020-04-23T04:19:51;true;Producer Rand;Fort;61181;68672;38;foreground;18525;withdrawal Table;2020-04-23T05:37:01;plum
5;high-level navigate Palau;Kids installation pa;GIFT;Tactics;parsing Outdoors holistic;Future Savings Account Sports;2020-04-22T16:36:54;2020-04-22T14:07:15;false;Interactions;applications reboot;47814;93799;95;Locks;25437;IB withdrawal withdr;2020-04-22T22:23:11;Awesome Steel Shoes 
6;Rubber indexing;Table Advanced motiv;DISCOUNT;Vatu hard drive;Cape Verde Escudo action-items;e-tailers Reactive;2020-04-23T00:50:24;2020-04-23T03:46:30;true;Oval Alaska;Nebraska SCSI;55815;4305;20;communitie;97546;action-items Re-engi;2020-04-23T02:51:18;wireless
7;Wooden rich;embrace;CASH;impactful District;Libyan Dinar;24 hour Small Parkways;2020-04-22T12:12:38;2020-04-23T04:35:09;true;port olive vortals;Tunisia;4178;14238;14;Florida;32262;Checking Account;2020-04-23T06:26:55;1080p multi-state
8;Electronics;Mississippi;BUY_ONE_GET_ONE;Persevering Small Plastic Tuna Oregon;radical Berkshire payment;Generic Frozen Savings Account;2020-04-22T19:39:17;2020-04-23T03:39:56;true;Bedfordshire Fundamental SMS;Points Toys Oregon;37685;42484;3;compress F;11451;New York;2020-04-22T21:55:48;Intelligent Fresh Ca
9;Dynamic;Rustic User-friendly;GIFT;Enterprise-wide;North Carolina 1080p matrix;Shirt;2020-04-22T14:51:55;2020-04-22T18:51:12;false;1080p expedite Research;Berkshire;46322;12417;51;bi-directi;58758;Kazakhstan;2020-04-22T23:17:23;mobile Kids
10;Toys;Buckinghamshire Mana;DISCOUNT;Balanced Mobility;parsing modular;Chair;2020-04-22T17:18:32;2020-04-22T18:17:08;true;Berkshire;front-end portals deposit;31527;2350;80;Sleek Pike;15324;Licensed;2020-04-22T21:03:10;Dynamic RSS
