id;order_sn;food_category_name;food_category_sn;food_name;food_sn;food_thumbnail;food_picture;price;original_price;cost;packing_fee;jhi_desc;quantity;coupon
1;function;program ge;revol;Metal Cotton Awesome;Soft;scale haptic Ball;Engineer driver Intelligent;85412;68168;32027;93058;Human Martinique 24/7;42907;Legacy Infrastructure
2;auxiliary;payment Gu;e-mar;Bedfordshire Kids;human-reso;Outdoors;payment;33759;2027;88358;20993;Manager District Configuration;38595;reboot
3;generating Internati;silver red;index;array;Associate ;Kansas action-items;Cotton wireless;92686;81245;51719;64206;navigating;15457;Gorgeous Wyoming circuit
4;connecting Minnesota;Buckingham;Bucki;ADP Program;driver wit;Robust Checking Account;Designer Automated;21030;96621;18608;13167;back-end Kenyan Shilling;52384;Automotive
5;structure Moldovan L;benchmark;Legac;hack Dam Vista;Programmab;didactic;Tunisia supply-chains Grove;74515;40710;95987;25383;Global withdrawal;83116;Agent Nebraska
6;Fresh Cambridgeshire;Glen Organ;appli;overriding Future Ru;mission-cr;Soft;Engineer Liechtenstein;31668;56044;17632;7999;Persevering next-generation Intuitive;14278;Berkshire Associate
7;generate Shoes Nevad;calculatin;input;Kids payment parsing;white;Nevada generating Unbranded Steel Ball;open system JSON Forward;57608;58570;42459;82697;Intelligent Soft Salad Bacon;73564;Cotton integrated multi-byte
8;Books Divide Gorgeou;parsing as;Unbra;Plain;HDD Intran;ADP;Grove;65546;84841;78025;25952;Avon Liaison CSS;18275;bypassing users
9;Licensed Refined;Station SM;stabl;tan;open syste;Handmade cross-platform;New Mexico Tasty Fresh Fish;44633;23875;87201;45029;networks;37179;Car Intranet Sausages
10;Extensions;Rue Health;Chair;wireless firewall Gr;Buckingham;overriding;reboot;6215;26398;58166;97297;green Human;40124;Niger input
